MANDT|BUKRS|WERKS|MATNR|MENGE|MEINS|WRBTR|WAERS|BLDAT|TXZ01
100|1000|PL01|DIESEL-001|12500.000|L|1125000.00|INR|20240115|Diesel Kraftstoff
100|1000|PL01|DIESEL-001|8750.500|L|787545.00|INR|20240202|Diesel Kraftstoff
100|1000|PL02|HSD-002|5200.000|L|468000.00|INR|20240110|High Speed Diesel
100|1000|PL02|LPG-003|2100.000|KG|189000.00|INR|20240118|LPG Zylinder
100|1000|PL03|PNG-004|4500.000|M3|135000.00|INR|20240120|Piped Natural Gas
100|1000|PL03|DIESEL-001|3200.000|L|288000.00|INR|20240125|Diesel Kraftstoff
100|1000|PL04|PETROL-005|980.000|L|88200.00|INR|20240201|Petrol
100|1000|PL01|FURNACE-006|8500.000|L|1020000.00|INR|20240205|Furnace Oil
100|1000|PL05|HSD-002|6750.000|GAL|607500.00|INR|20240210|High Speed Diesel
100|1000|PL01|DIESEL-001|750000.000|L|67500000.00|INR|20240215|Diesel Kraftstoff
100|1000|PL02|LPG-003|1850.000|KG|166500.00|INR|20240220|LPG Zylinder
100|1000|PL03|PNG-004|3900.000|M3|117000.00|INR|20240301|Piped Natural Gas
100|1000|HO01|DIESEL-001|450.000|L|40500.00|INR|20240305|Diesel for DG Set
100|1000|PL04|UNKNOWN-007|1200.000|L|108000.00|INR|20240310|Industrial Solvent
