Account Number,Meter ID,Billing Period Start,Billing Period End,Consumption (kWh),Demand (kW),Amount (INR),Tariff Code
ACC-MH-001234,MTR-PL01-HT,01/01/2024,31/01/2024,245300,620.5,2044149.00,HT-II
ACC-MH-001234,MTR-PL01-LT,01/01/2024,31/01/2024,18200,45.2,145600.00,LT-III
ACC-MH-001235,MTR-PL02-HT,15/12/2023,14/01/2024,198450,510.3,1654004.50,HT-II
ACC-MH-001234,MTR-PL01-HT,01/02/2024,29/02/2024,261800,635.1,2182742.00,HT-II
ACC-MH-001234,MTR-PL01-LT,01/02/2024,29/02/2024,19100,47.8,152800.00,LT-III
ACC-TN-002100,MTR-PL03-HT,01/01/2024,31/01/2024,312000,780.0,2527200.00,HT-IIA
ACC-TN-002100,MTR-PL03-HT,01/02/2024,29/02/2024,298500,745.2,2418765.00,HT-IIA
ACC-DL-003001,MTR-PL04-LT,01/01/2024,31/01/2024,42100,105.3,421000.00,HVDS
ACC-TS-004200,MTR-PL05-HT,01/01/2024,31/01/2024,185600,465.0,1504360.00,HT-1
ACC-MH-001236,MTR-HO01-LT,01/01/2024,31/01/2024,0,0,0.00,LT-I
